"","año","mes","fecha","ciudad","temperatura"
"1",1967,"JAN","1967/1/1","Bogota",NA
"2",1968,"JAN","1968/1/1","Bogota",12.2
"3",1969,"JAN","1969/1/1","Bogota",12.8
"4",1970,"JAN","1970/1/1","Bogota",NA
"5",1971,"JAN","1971/1/1","Bogota",12.8
"6",1972,"JAN","1972/1/1","Bogota",12.9
"7",1973,"JAN","1973/1/1","Bogota",13.6
"8",1974,"JAN","1974/1/1","Bogota",12.2
"9",1975,"JAN","1975/1/1","Bogota",12.3
"10",1976,"JAN","1976/1/1","Bogota",12.2
"11",1977,"JAN","1977/1/1","Bogota",NA
"12",1978,"JAN","1978/1/1","Bogota",NA
"13",1979,"JAN","1979/1/1","Bogota",NA
"14",1980,"JAN","1980/1/1","Bogota",13.4
"15",1981,"JAN","1981/1/1","Bogota",12.4
"16",1982,"JAN","1982/1/1","Bogota",12.6
"17",1983,"JAN","1983/1/1","Bogota",14
"18",1984,"JAN","1984/1/1","Bogota",12.3
"19",1985,"JAN","1985/1/1","Bogota",12.3
"20",1986,"JAN","1986/1/1","Bogota",13
"21",1987,"JAN","1987/1/1","Bogota",13
"22",1988,"JAN","1988/1/1","Bogota",13
"23",1989,"JAN","1989/1/1","Bogota",12.7
"24",1990,"JAN","1990/1/1","Bogota",13.2
"25",1991,"JAN","1991/1/1","Bogota",13.3
"26",1992,"JAN","1992/1/1","Bogota",13.5
"27",1993,"JAN","1993/1/1","Bogota",13.8
"28",1994,"JAN","1994/1/1","Bogota",13.2
"29",1995,"JAN","1995/1/1","Bogota",12.5
"30",1996,"JAN","1996/1/1","Bogota",11.1
"31",1997,"JAN","1997/1/1","Bogota",NA
"32",1998,"JAN","1998/1/1","Bogota",14.2
"33",1999,"JAN","1999/1/1","Bogota",13.2
"34",2000,"JAN","2000/1/1","Bogota",12.5
"35",2001,"JAN","2001/1/1","Bogota",12.2
"36",2002,"JAN","2002/1/1","Bogota",13.5
"37",2003,"JAN","2003/1/1","Bogota",13.6
"38",2004,"JAN","2004/1/1","Bogota",12.8
"39",2005,"JAN","2005/1/1","Bogota",NA
"40",2006,"JAN","2006/1/1","Bogota",13.5
"41",2007,"JAN","2007/1/1","Bogota",13.7
"42",2008,"JAN","2008/1/1","Bogota",12.9
"43",2009,"JAN","2009/1/1","Bogota",13.2
"44",2010,"JAN","2010/1/1","Bogota",13.6
"45",2011,"JAN","2011/1/1","Bogota",NA
"46",2012,"JAN","2012/1/1","Bogota",NA
"47",2013,"JAN","2013/1/1","Bogota",13.5
"48",2014,"JAN","2014/1/1","Bogota",13.7
"49",2015,"JAN","2015/1/1","Bogota",13.4
"50",1967,"FEB","1967/2/1","Bogota",NA
"51",1968,"FEB","1968/2/1","Bogota",12.9
"52",1969,"FEB","1969/2/1","Bogota",13.8
"53",1970,"FEB","1970/2/1","Bogota",13.9
"54",1971,"FEB","1971/2/1","Bogota",12.5
"55",1972,"FEB","1972/2/1","Bogota",12.6
"56",1973,"FEB","1973/2/1","Bogota",13.3
"57",1974,"FEB","1974/2/1","Bogota",12.9
"58",1975,"FEB","1975/2/1","Bogota",12.8
"59",1976,"FEB","1976/2/1","Bogota",12.4
"60",1977,"FEB","1977/2/1","Bogota",NA
"61",1978,"FEB","1978/2/1","Bogota",NA
"62",1979,"FEB","1979/2/1","Bogota",NA
"63",1980,"FEB","1980/2/1","Bogota",13.2
"64",1981,"FEB","1981/2/1","Bogota",13.9
"65",1982,"FEB","1982/2/1","Bogota",13.8
"66",1983,"FEB","1983/2/1","Bogota",14.6
"67",1984,"FEB","1984/2/1","Bogota",12.6
"68",1985,"FEB","1985/2/1","Bogota",12.1
"69",1986,"FEB","1986/2/1","Bogota",12.5
"70",1987,"FEB","1987/2/1","Bogota",13.9
"71",1988,"FEB","1988/2/1","Bogota",13.7
"72",1989,"FEB","1989/2/1","Bogota",12.7
"73",1990,"FEB","1990/2/1","Bogota",13.1
"74",1991,"FEB","1991/2/1","Bogota",14.3
"75",1992,"FEB","1992/2/1","Bogota",13.9
"76",1993,"FEB","1993/2/1","Bogota",13.8
"77",1994,"FEB","1994/2/1","Bogota",13.7
"78",1995,"FEB","1995/2/1","Bogota",12.7
"79",1996,"FEB","1996/2/1","Bogota",12.4
"80",1997,"FEB","1997/2/1","Bogota",NA
"81",1998,"FEB","1998/2/1","Bogota",14.6
"82",1999,"FEB","1999/2/1","Bogota",13.3
"83",2000,"FEB","2000/2/1","Bogota",12.8
"84",2001,"FEB","2001/2/1","Bogota",13.4
"85",2002,"FEB","2002/2/1","Bogota",14.2
"86",2003,"FEB","2003/2/1","Bogota",14.6
"87",2004,"FEB","2004/2/1","Bogota",13.2
"88",2005,"FEB","2005/2/1","Bogota",14
"89",2006,"FEB","2006/2/1","Bogota",13.7
"90",2007,"FEB","2007/2/1","Bogota",12.8
"91",2008,"FEB","2008/2/1","Bogota",13.3
"92",2009,"FEB","2009/2/1","Bogota",13.3
"93",2010,"FEB","2010/2/1","Bogota",NA
"94",2011,"FEB","2011/2/1","Bogota",NA
"95",2012,"FEB","2012/2/1","Bogota",13
"96",2013,"FEB","2013/2/1","Bogota",13.9
"97",2014,"FEB","2014/2/1","Bogota",13.7
"98",2015,"FEB","2015/2/1","Bogota",14
"99",1967,"MAR","1967/3/1","Bogota",NA
"100",1968,"MAR","1968/3/1","Bogota",13.3
"101",1969,"MAR","1969/3/1","Bogota",13.6
"102",1970,"MAR","1970/3/1","Bogota",13.8
"103",1971,"MAR","1971/3/1","Bogota",13.3
"104",1972,"MAR","1972/3/1","Bogota",13.5
"105",1973,"MAR","1973/3/1","Bogota",14.3
"106",1974,"MAR","1974/3/1","Bogota",13
"107",1975,"MAR","1975/3/1","Bogota",13
"108",1976,"MAR","1976/3/1","Bogota",13.2
"109",1977,"MAR","1977/3/1","Bogota",NA
"110",1978,"MAR","1978/3/1","Bogota",NA
"111",1979,"MAR","1979/3/1","Bogota",NA
"112",1980,"MAR","1980/3/1","Bogota",14.2
"113",1981,"MAR","1981/3/1","Bogota",13.7
"114",1982,"MAR","1982/3/1","Bogota",13.8
"115",1983,"MAR","1983/3/1","Bogota",14.5
"116",1984,"MAR","1984/3/1","Bogota",13.2
"117",1985,"MAR","1985/3/1","Bogota",13.6
"118",1986,"MAR","1986/3/1","Bogota",13
"119",1987,"MAR","1987/3/1","Bogota",13.6
"120",1988,"MAR","1988/3/1","Bogota",13.5
"121",1989,"MAR","1989/3/1","Bogota",12.3
"122",1990,"MAR","1990/3/1","Bogota",13.8
"123",1991,"MAR","1991/3/1","Bogota",13.7
"124",1992,"MAR","1992/3/1","Bogota",14.6
"125",1993,"MAR","1993/3/1","Bogota",14.1
"126",1994,"MAR","1994/3/1","Bogota",13.7
"127",1995,"MAR","1995/3/1","Bogota",13.4
"128",1996,"MAR","1996/3/1","Bogota",12.8
"129",1997,"MAR","1997/3/1","Bogota",NA
"130",1998,"MAR","1998/3/1","Bogota",14.8
"131",1999,"MAR","1999/3/1","Bogota",13.2
"132",2000,"MAR","2000/3/1","Bogota",13.1
"133",2001,"MAR","2001/3/1","Bogota",13.9
"134",2002,"MAR","2002/3/1","Bogota",14.2
"135",2003,"MAR","2003/3/1","Bogota",14.3
"136",2004,"MAR","2004/3/1","Bogota",13.8
"137",2005,"MAR","2005/3/1","Bogota",13.9
"138",2006,"MAR","2006/3/1","Bogota",13.3
"139",2007,"MAR","2007/3/1","Bogota",13.7
"140",2008,"MAR","2008/3/1","Bogota",13
"141",2009,"MAR","2009/3/1","Bogota",13.3
"142",2010,"MAR","2010/3/1","Bogota",NA
"143",2011,"MAR","2011/3/1","Bogota",NA
"144",2012,"MAR","2012/3/1","Bogota",13.6
"145",2013,"MAR","2013/3/1","Bogota",14.2
"146",2014,"MAR","2014/3/1","Bogota",14
"147",2015,"MAR","2015/3/1","Bogota",NA
"148",1967,"APR","1967/4/1","Bogota",NA
"149",1968,"APR","1968/4/1","Bogota",13.7
"150",1969,"APR","1969/4/1","Bogota",NA
"151",1970,"APR","1970/4/1","Bogota",14.2
"152",1971,"APR","1971/4/1","Bogota",13.2
"153",1972,"APR","1972/4/1","Bogota",13.3
"154",1973,"APR","1973/4/1","Bogota",13.7
"155",1974,"APR","1974/4/1","Bogota",13.6
"156",1975,"APR","1975/4/1","Bogota",13.3
"157",1976,"APR","1976/4/1","Bogota",NA
"158",1977,"APR","1977/4/1","Bogota",NA
"159",1978,"APR","1978/4/1","Bogota",NA
"160",1979,"APR","1979/4/1","Bogota",NA
"161",1980,"APR","1980/4/1","Bogota",14.1
"162",1981,"APR","1981/4/1","Bogota",14
"163",1982,"APR","1982/4/1","Bogota",13.8
"164",1983,"APR","1983/4/1","Bogota",14.3
"165",1984,"APR","1984/4/1","Bogota",13.1
"166",1985,"APR","1985/4/1","Bogota",13.4
"167",1986,"APR","1986/4/1","Bogota",13.7
"168",1987,"APR","1987/4/1","Bogota",14.1
"169",1988,"APR","1988/4/1","Bogota",13.8
"170",1989,"APR","1989/4/1","Bogota",13.5
"171",1990,"APR","1990/4/1","Bogota",13.7
